3.637	15,7	3.581	15,5	98,46	0,45
1.704	15,8	2.008	18,6	117,84	0,53
4.081	22,8	1.624	9,1	39,79	0,47
4.946	18,7	3.906	14,8	78,97	0,50
12.711	17,5	12.275	16,9	96,57	0,52
2.252	17,5	2.161	16,8	95,96	0,52
8.177	21,7	4.295	11,4	52,53	0,50
1.083	21,8	623	12,6	57,53	0,52
733	21,5	515	15,1	70,26	0,58
24.483	21,7	13.182	11,7	53,84	0,50
974	17,4	1.074	19,2	110,27	0,58
3.572	17,1	3.384	16,2	94,74	0,50
487	14,4	726	21,5	149,08	0,56
10.234	21,8	3.934	8,4	38,44	0,43
865	19,8	620	14,2	71,68	0,51
446	17,7	483	19,1	108,30	0,58
650	16,0	857	21,1	131,85	0,59
1.598	17,7	1.701	18,8	106,45	0,58
9.585	18,8	7.198	14,1	75,10	0,49
10.009	18,8	8.073	15,1	80,66	0,51
3.872	19,1	1.873	9,2	48,37	0,39
2.742	16,8	2.857	17,5	104,19	0,52
312	10,8	273	9,4	87,50	0,25
4.006	20,1	2.346	11,8	58,56	0,47
62.373	20,7	42.630	14,2	68,35	0,54
1.038	20,8	564	11,3	54,34	0,47
715	17,7	713	17,6	99,72	0,55
2.047	15,0	2.755	20,1	134,59	0,54
8.201	19,5	6.295	15,0	76,76	0,53
38.291	17,6	35.375	16,3	92,38	0,51
6.059	15,9	6.768	17,8	111,70	0,51
7.620	19,8	5.601	14,6	73,50	0,52
675	18,9	584	16,4	86,52	0,54
2.775	20,4	1.870	13,8	67,39	0,52
655	20,9	373	11,9	56,95	0,49
2.501	20,4	1.520	12,4	60,78	0,49
1.120	17,6	1.054	16,6	94,11	0,52
1.802	20,4	1.254	14,2	69,59	0,53
5.305	18,4	4.700	16,3	88,60	0,53
740	19,3	704	18,3	95,14	0,60
3.376	17,6	3.115	16,2	92,27	0,51
941	13,0	974	13,5	103,51	0,36
11.432	21,1	7.791	14,4	68,15	0,55
1.724	23,9	812	11,2	47,10	0,54
701	21,5	603	18,5	86,02	0,67
2.765	21,8	1.748	13,8	63,22	0,55
4.133	23,3	2.074	11,7	50,18	0,54
977	21,5	588	12,9	60,18	0,52
751	17,2	826	18,9	109,99	0,56
328	15,2	462	21,5	140,85	0,58
1.553	20,8	1.091	14,6	70,25	0,55
21.387	18,2	17.105	14,6	79,98	0,49
117.004	17,7	98.642	14,9	84,31	0,48
597	17,3	615	17,8	103,02	0,54
2.134	20,4	1.505	14,4	70,52	0,53
1.664	17,0	1.986	20,3	119,35	0,60
34.210	17,4	30.638	15,6	89,56	0,49
6.660	20,2	3.722	11,3	55,89	0,46
10.064	20,9	5.014	10,4	49,82	0,46
2.135	19,1	1.353	12,1	63,37	0,45
1.202	20,7	1.070	18,4	89,02	0,64
3.559	19,0	2.807	15,0	78,87	0,52
2.153	20,8	1.273	12,3	59,13	0,50
557	18,6	394	13,1	70,74	0,46
450	15,2	676	22,9	150,22	0,62
1.011	18,7	1.023	18,9	101,19	0,60
415	17,5	457	19,3	110,12	0,58
1.067	18,1	1.063	18,1	99,63	0,57
1.962	17,4	1.836	16,3	93,58	0,51
3.651	22,2	2.298	14,0	62,94	0,57
907	18,1	855	17,0	94,27	0,54
1.170	15,3	1.327	17,3	113,42	0,48
20.865	18,6	14.826	13,2	71,06	0,46
8.774	20,4	5.891	13,7	67,14	0,52
1.830	20,3	1.538	17,1	84,04	0,60
874	21,5	483	11,9	55,26	0,50
2.657	18,0	2.388	16,2	89,88	0,52
816	14,3	1.216	21,4	149,02	0,56
32.311	17,3	27.048	14,5	83,71	0,47
2.634	18,7	2.249	16,0	85,38	0,53
319	15,7	424	20,8	132,92	0,58
687	16,2	783	18,4	113,97	0,53
401	19,6	351	17,2	87,53	0,58
6.553	20,1	4.216	12,9	64,34	0,49
8.761	19,3	7.672	16,9	87,57	0,57
1.089	19,7	658	11,9	60,42	0,46
4.726	15,6	5.759	19,0	121,86	0,53
5.190	20,9	2.398	9,7	46,20	0,44
11.113	20,7	7.218	13,4	64,95	0,52
1.802	21,3	1.015	12,0	56,33	0,50
1.299	21,9	722	12,2	55,58	0,52
530	18,8	478	17,0	90,19	0,56
4.231	16,0	5.574	21,1	131,74	0,59
328	13,4	629	25,7	191,77	0,64
4.472	17,8	4.029	16,1	90,09	0,51
196	13,6	337	23,3	171,94	0,59
190	12,3	428	27,7	225,26	0,67
27.339	21,1	13.628	10,5	49,85	0,46
3.551	17,6	3.732	18,5	105,10	0,56
121.167	17,6	112.478	16,3	92,83	0,51
1.135	17,4	1.179	18,0	103,88	0,55
4.367	19,7	2.831	12,7	64,83	0,48
1.416	17,5	1.152	14,3	81,36	0,47
1.003	17,1	1.074	18,4	107,08	0,55
1.321	20,1	952	14,5	72,07	0,53
501	17,1	551	18,9	109,98	0,56
916	20,1	623	13,7	68,01	0,51
69.142	16,2	90.281	21,2	130,57	0,60
1.839	17,5	1.878	17,9	102,12	0,55
150.367	18,8	107.313	13,4	71,37	0,48
22.155	14,7	32.672	21,7	147,47	0,57
41.051	17,3	36.614	15,5	89,19	0,49
445	16,4	592	21,8	133,03	0,62
14.126	16,4	15.160	17,6	107,32	0,51
407	16,3	450	18,0	110,57	0,52
312	17,0	338	18,4	108,33	0,55
277	13,7	496	24,6	179,06	0,62
9.224	18,7	7.314	14,9	79,29	0,51
1.928	22,4	1.124	13,0	58,30	0,55
830	20,4	646	15,9	77,83	0,57
9.190	17,4	9.402	17,8	102,31	0,54
72.795	16,6	71.340	16,3	98,00	0,49
136.832	19,9	89.515	13,0	65,42	0,49
3.055	20,3	1.901	12,6	62,23	0,49
1.912	18,2	1.846	17,6	96,55	0,56
7.463	19,0	5.864	15,0	78,57	0,52
6.835	21,5	4.350	13,7	63,64	0,54
2.255.957	19,3	1.676.101	14,3	74,30	0,51
5.942	17,7	5.879	17,6	98,94	0,55
1.498	20,5	1.175	16,1	78,44	0,58
15.484	18,2	12.823	15,1	82,81	0,50
18.123	21,8	8.647	10,4	47,71	0,47
2.180	18,2	1.955	16,3	89,68	0,53
2.745	18,7	2.453	16,7	89,36	0,55
71.297	20,4	48.296	13,8	67,74	0,52
2.008	20,5	1.357	13,9	67,58	0,52
758	20,8	602	16,6	79,42	0,60
487	15,1	607	18,8	124,64	0,51
2.097	17,5	1.300	10,9	61,99	0,40
4.467	16,4	5.279	19,4	118,18	0,56
9.290	21,7	4.308	10,1	46,37	0,47
22.945	19,3	15.154	12,7	66,04	0,47
2.977	23,5	1.923	15,2	64,60	0,63
3.323	20,0	1.959	11,8	58,95	0,46
1.228	20,2	946	15,6	77,04	0,56
6.383	16,7	7.410	19,4	116,09	0,56
119.192	18,7	85.071	13,3	71,37	0,47
1.486	19,5	1.134	14,8	76,31	0,52
54.982	20,3	29.671	10,9	53,96	0,45
746	19,7	581	15,3	77,88	0,54
60.543	21,4	32.202	11,4	53,19	0,49
1.967	16,7	2.084	17,7	105,95	0,53
2.976	19,2	2.125	13,7	71,40	0,49
60.656	22,3	28.002	10,3	46,17	0,48
1.112	18,7	894	15,0	80,40	0,51
2.750	21,8	1.499	11,9	54,51	0,51
1.055	17,6	977	16,3	92,61	0,51
831	13,2	1.082	17,1	130,20	0,43
4.404	19,4	3.690	16,3	83,79	0,56
4.012	16,2	4.610	18,6	114,91	0,53
1.761	22,7	1.097	14,2	62,29	0,58
2.167	17,2	2.029	16,1	93,63	0,50
500	18,3	457	16,7	91,40	0,54
10.073	18,5	8.797	16,2	87,33	0,53
4.641	20,2	3.415	14,9	73,58	0,54
1.311	23,6	561	10,1	42,79	0,51
1.451	20,5	886	12,5	61,06	0,49
3.025	21,2	1.629	11,4	53,85	0,49
23.705	20,4	15.794	13,6	66,63	0,51
56.900	19,0	41.723	13,9	73,33	0,49
1.068	22,7	683	14,5	63,95	0,59
4.585	20,7	2.843	12,9	62,01	0,51
1.752	19,6	1.326	14,8	75,68	0,53
